,Taxon, Habitat, Diet, Body Weight, BMR
0,Tachyglossus aculeatus, Terrestrial, Invertebrates,3410.0,0.17
1,Ornithorhynchus anatinus, Aquatic, Invertebrates,690.0,0.31
2,Marmosa microtarsus, Arboreal, Invertebrates,14.5,1.79
4,Planigale gilesi, Terrestrial, Invertebrates,9.4,1.4
5,Planigale ingrami, Terrestrial, Invertebrates,7.1,1.59
6,Planigale maculatus, Terrestrial, Invertebrates,8.5,1.26
7,Antechinus macdonnellensis, Terrestrial, Invertebrates,43.1,0.63
8,Antechinus stuartii, Terrestrial, Invertebrates,37.0,0.99
9,Phascogale tapoatafa, Arboreal, Invertebrates,157.2,0.81
11,Dasyurus geoffroii, Terrestrial, Invertebrates,1000.0,0.38
12,Dasyurus hallacatus, Terrestrial, Invertebrates,584.4,0.51
14,Dasyurus viverrinus, Terrestrial, Invertebrates,1100.0,0.45
16,Dasyuroides byrnei, Terrestrial, Invertebrates,89.0,0.87
17,Sminthopis crassicaudata, Terrestrial, Invertebrates,14.0,1.34
18,Antechinomys spenceri, Terrestrial, Invertebrates,24.2,0.98
20,Perameles nasuta, Terrestrial, Invertebrates,686.0,0.47
21,Isoodon macrourus, Terrestrial, Invertebrates,880.0,0.45
31,Myrmecophaga tridactyla, Terrestrial, Invertebrates,30600.0,0.09
32,Tamandua mexicana, Terrestrial, Invertebrates,3500.0,0.26
33,Tamandua tetradactyla, Terrestrial, Invertebrates,3500.0,0.25
34,Cyclopes didactylus, Terrestrial, Invertebrates,240.0,0.48
37,Euphractus sexcinctus, Terrestrial, Invertebrates,8190.0,0.15
38,Zaedyus pichiy, Terrestrial, Invertebrates,1740.0,0.23
39,Priodontes maximus, Terrestrial, Invertebrates,45190.0,0.07
40,Cabassous centralis, Terrestrial, Invertebrates,3810.0,0.21
41,Tolypeutes matacus, Terrestrial, Invertebrates,1160.0,0.18
42,Dasypus novemcinctus, Terrestrial, Invertebrates,3320.0,0.24
43,Chaetophractus nationi, Terrestrial, Invertebrates,2150.0,0.26
44,Chaetophractus vellerosus, Terrestrial, Invertebrates,1110.0,0.28
45,Chaetophractus villosus, Terrestrial, Invertebrates,4540.0,0.18
46,Tenrec ecaudatus, Aquatic, Invertebrates,790.0,0.33
47,Setifer setosus, Terrestrial, Invertebrates,530.0,0.23
48,Amblysomus hottentotus, Terrestrial, Invertebrates,70.0,1.21
49,Erinaceus albiventris, Terrestrial, Invertebrates,450.0,0.33
50,Erinaceus europaeus, Terrestrial, Invertebrates,889.0,0.48
51,Hemiechinus auritus, Terrestrial, Invertebrates,400.0,0.38
52,Paraechinus aethiopus, Terrestrial, Invertebrates,450.0,0.25
53,Sorex araneus, Terrestrial, Invertebrates,8.9,9.08
54,Sorex caecutiens, Terrestrial, Invertebrates,4.9,11.67
55,Sorex cinereus, Terrestrial, Invertebrates,3.0,9.0
56,Sorex isodon, Terrestrial, Invertebrates,11.1,8.28
57,Sorex minutissimu, Terrestrial, Invertebrates,2.5,15.48
58,Sorex minutu, Terrestrial, Invertebrates,2.7,15.0
59,Neomys anomalus, Terrestrial, Invertebrates,13.4,4.98
60,Neomys fodiens, Terrestrial, Invertebrates,17.8,6.79
61,Blarina brevicauda, Terrestrial, Invertebrates,21.0,2.5
62,Notiosorex crawford, Terrestrial, Invertebrates,4.0,3.27
63,Crocidura russula, Terrestrial, Invertebrates,13.7,1.9
64,Scalopus aquaticus, Terrestrial, Invertebrates,48.0,1.41
65,Tupaia glis, Arboreal, Invertebrates,180.0,0.93
66,Urogale everetti, Arboreal, Invertebrates,252.0,0.86
78,Tonatia bidens, Arboreal, Invertebrates,27.4,2.1
79,Phyllostomus discolor, Arboreal, Invertebrates,33.5,1.43
80,Phyllostomus hastatus, Arboreal, Invertebrates,84.2,1.19
96,Eumops perotis, Arboreal, Invertebrates,56.0,0.71
97,Molossus molossus, Arboreal, Invertebrates,16.0,1.44
98,Histiotus velatus, Arboreal, Invertebrates,11.2,1.4
100,Nycticebus coucang, Terrestrial, Invertebrates,1300.0,0.24
118,Fennecus zerda, Terrestrial, Invertebrates,1106.0,0.36
128,Meles meles, Terrestrial, Invertebrates,11050.0,0.27
136,Proteles cristata, Terrestrial, Invertebrates,7710.0,0.25
151,Orycteropus afer, Terrestrial, Invertebrates,48000.0,0.13
168,Manis crassicaudata, Terrestrial, Invertebrates,15910.0,0.07
169,Manis javanica, Terrestrial, Invertebrates,4220.0,0.26
170,Manis tricuspis, Terrestrial, Invertebrates,2730.0,0.33
202,Onychomys terridus, Terrestrial, Invertebrates,19.0,1.55
204,Oxymycterus roberti, Terrestrial, Invertebrates,84.0,1.09
262,Elephantulus edwardii, Terrestrial, Invertebrates,50.0,1.09
263,Elephantulus rugescens, Terrestrial, Invertebrates,53.0,1.07
264,Petrodromus tetradactylus, Terrestrial, Invertebrates,210.0,0.61
